"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
96;"C86,C90,C91,C87";"E2,5-6";4;"1u";;;
97;"IC29";"DIL14";1;"556N";;;
98;"X4";"1503_09";1;"1503_09";;;
99;"USB1";"USB-A-H";1;"USB-A-H";;;
100;"RG0";"0204_7";1;"1k1";;;
101;"IC9,IC28,IC11,IC35";"DIL16";4;"74138N";;;
102;"J2";"DCJ0202";1;"DCJ0202";;;
103;"C83,C119,C82,C122";"E2-5";4;"10u";;;
104;"R38";"0204V";1;"1k5";;;
105;"R16,R6";"0204_5";2;"10k";;;
106;"IC34";"DIL14";1;"7406N";;;
107;"IC7";"SO16";1;"74138D";;;
108;"R48";"0207_2V";1;"100k";;;
109;"U1";"SOT-23-5";1;"74LVC1G04";;;
110;"R5";"0207_2V";1;"1k";;;
111;"R19,R18,R37,R20";"0204V";4;"1k";;;
112;"JP7";"JP4";1;"JP4E";;;
113;"R13,R14,R15";"0204V";3;"470";;;
114;"U2";"DIP-14_W7.62mm_LongPads";1;"74HCT164";;;
115;"X2";"HDR15RA";1;"D-SUB15-HDR15RA";;;
116;"U$3";"SOT223";1;"LDI1117";;;
117;"U$27,U$2";"JP5";2;"JP5";;;
118;"IC22";"DIL14";1;"7400N";;;
119;"U3";"DIL14";1;"74HCT00";;;
120;"C125";"C025-024X044";1;"0.01, 50V";;;
121;"CN3";"MA156_12-2_IEEE";1;"PORT_IEEE_EDGE";;;
122;"U$9";"ETHOLIENC";1;"ETHOLIENC";;;
123;"IC6";"TQFP-48_7x7mm_P0.5mm";1;"~";;;
124;"IC49";"DIL20";1;"74241N";;;
125;"T10";"TO92";1;"BC547";;;
126;"SW1";"SW_E-Switch-400-combined";1;"~";;;
127;"IC40,IC27";"DIL14";2;"7474N";;;
128;"J7";"IDC-Header_2x05_P2.54mm_Vertical";1;"UEXT_Host";;;
129;"R76";"0207_7";1;"15k";;;
130;"C114";"C025-024X044";1;"1500p";;;
131;"C99";"E2,5-7";1;"330u";;;
132;"IC26";"DIL14";1;"LM3900N";;;
133;"IC25";"DIL16";1;"74139N";;;
134;"C130";"E2-4";1;"10u";;;
135;"T8";"TO220";1;"TIP31";;;
136;"Q3";"HC49_S";1;"12MHz";;;
137;"C126";"C025-025X050";1;"0.47";;;
138;"DS1818";"TO92";1;"DS1813";;;
139;"JP10";"JP3Q";1;"JP3Q";;;
140;"L4";"TJ4-U2";1;"200uH";;;
141;"U$1";"PLCC44";1;"W65C816SPLCC";;;
142;"P3";"FLAT24";1;"IEEE488FLATCABLE";;;
143;"P8";"C64KEYB";1;"PETKEYBD";;;
144;"U$28";"DIN6PIEC";1;"DINIEC";;;
145;"IC12";"DIL16";1;"74145N";;;
146;"R50";"0204_7";1;"180";;;
147;"L2";"0204_7@1";1;"1uH";;;
148;"U$13";"MSOP10";1;"MCP79510";;;
149;"QG1";"SG51";1;"50MHz";;;
150;"Q4";"MICRO3";1;"IRLML5203";;;
151;"U$7";"FLAT10BOX";1;"XILINXPROG";;;
152;"IC14";"SO14";1;"7414D";;;
153;"R73";"0207_10";1;"1k";;;
154;"BEEP1";"PIEZOBEEPER";1;"PIEZOBEEPERPIEZO";;;
155;"P10";"Pmod-SDCard";1;"~";;;
156;"P1";"CSABUSSOCK180";1;"CSABUSSOCK180";;;
157;"R12";"0207_2V";1;"1k5";;;
