Designator,Mid X,Mid Y,Rotation,Layer
D6,213.36,-100.33,0.0,top
D7,242.57,-80.01,180.0,top
D8,213.36,-102.87,0.0,top
D9,265.30884,-88.837149,270.0,top
DS1818,263.725754,-189.5475,0.0,top
IC1,302.895,-132.08,0.0,top
IC10,333.375,-199.39,180.0,top
IC11,191.135,-130.81,270.0,top
IC12,74.25016,-101.6,270.0,top
IC13,341.63,-104.14,180.0,top
IC14,337.82,-123.19,180.0,top
IC15,54.61,-116.84,270.0,top
IC16,321.945,-104.14,180.0,top
IC17,99.89241,-116.84,270.0,top
IC18,337.82,-135.89,180.0,top
IC19,359.41,-104.213462,180.0,top
IC2,255.905,-94.615,0.0,top
IC20,123.116256,-116.84,270.0,top
IC21,197.485,-102.87,270.0,top
IC22,113.665,-73.66,0.0,top
IC23,138.43,-80.01,0.0,top
IC25,164.493134,-167.64,270.0,top
IC26,201.93,-168.871617,0.0,top
IC27,113.03,-212.09,0.0,top
IC28,111.76,-197.877358,0.0,top
IC29,154.94,-212.09,0.0,top
IC3,281.94,-190.5,180.0,top
IC31,49.53,-158.75,270.0,top
IC32,48.688941,-207.704759,270.0,top
IC33,82.55,-205.74,0.0,top
IC34,205.740776,-129.54,270.0,top
IC35,81.28,-181.61,270.0,top
IC36,156.21,-116.84,270.0,top
IC4,303.53,-104.14,180.0,top
IC40,162.56,-80.01,0.0,top
IC48,183.582652,-102.87,270.0,top
IC49,189.865,-80.01,0.0,top
IC5,284.48,-104.14,180.0,top
IC7,274.955,-137.764139,0.0,top
IC8,213.36,-86.36,90.0,top
IC9,175.936052,-130.81,270.0,top
J1,260.447962,-145.887013,0.0,top
J2,394.099263,-65.205354,90.0,top
J3,260.447962,-141.263429,0.0,top
J4,304.800121,-197.602658,0.0,top
J5,268.085438,-203.527695,0.0,top
JP1,146.357261,-163.082208,270.0,top
JP10,187.325,-66.675,0.0,top
JP11,205.467975,-104.14,180.0,top
JP12,32.385,-66.04,0.0,top
JP13,133.35,-71.755,0.0,top
JP14,135.89,-88.295398,0.0,top
